"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774420490612007071","Sun Mar 31 23:40:30 +0000 2024","0","@Syarman59 @erickthohir 271 T kok cuma dibilang kebobolan trus itu ekskul pramuka ngga wajib lagi ?! hadeuuhhh !!! Sebenarnya negeri ini sedang kenapa sih pak @jokowi ?! mumet tenan rakyatmu sing jelantah iki pak","1774582572506591360","","Syarman59","in","Central Java, Indonesia","0","0","0","https://x.com/cenytha2115501/status/1774582572506591360","1654714618768674816","cenytha2115501"
"1774318803893321791","Sun Mar 31 23:40:00 +0000 2024","0","@ninisoo_exo @kang___L Segrombolan lah...jan jama'ah...terlalu halus !","1774582447008805098","","ninisoo_exo","in","indonesia","0","0","0","https://x.com/Boys4O5/status/1774582447008805098","1705148717266006016","Boys4O5"
"1774582195513966598","Sun Mar 31 23:39:00 +0000 2024","0","Daftar Kritik PDIP untuk Jokowi yang Kini Beda Haluan Singgung Gibran Nepotisme hingga Utang #Jokowi #PDIP #Gibran https://t.co/k6vjoAUuOj lewat @tribunkaltim","1774582195513966598","","","in","Balikpapan, Indonesia","0","0","0","https://x.com/tribunkaltim/status/1774582195513966598","103551225","tribunkaltim"
"1774309364247204297","Sun Mar 31 23:38:59 +0000 2024","0","@Kemhan_RI #MenPANRB &amp; #MenhanRI tak mampu bantu PNSTNIAU kerja brdsarkn UUASN &amp;/ Gagal memanusiakan PNS TNIAU? #ReformasiBirokrasi gagal PNS TNIAU dokter spes IVA berjab perawat? tunkin PNS IVA stara PNS IID/pelda? aduan mandul ke Presiden RI &amp; Kbinet #P5TNI sjk 2014 @jokowi @setkabgoid https://t.co/UwhmDqkJQ4","1774582192632627451","https://pbs.twimg.com/media/GKCVF8KaMAAkeGZ.jpg","Kemhan_RI","in","","0","0","0","https://x.com/66Maxmara/status/1774582192632627451","1603571644030939136","66Maxmara"
"1774410598358683947","Sun Mar 31 23:38:55 +0000 2024","0","@KompasTV Nanti kalo sdh jadi presiden dan sewenang2 spt Jokowi apa bicara spt ini juga Wo?","1774582176958611743","","KompasTV","in","Petamburan","0","0","0","https://x.com/Rockgar12/status/1774582176958611743","168101897","Rockgar12"
"1774461137679257863","Sun Mar 31 23:38:11 +0000 2024","1","@blackshark7890 Jokowi nggedebrush","1774581991708688435","","blackshark7890","in","","0","0","0","https://x.com/Langgen27393109/status/1774581991708688435","1417047504902754308","Langgen27393109"
"1774306021680558332","Sun Mar 31 23:37:05 +0000 2024","0","@ardisatriawan Aturan perpajakan ini harus diperbaiki seharus nya pihak perpajakan ucapkan terima kasih lah pada pembayar pajak...jgn sudah bayar pajak disuruh lapor lagi terus kalau lebih bayar ya kalau wp nya ikhlas ambil aja utk negara..jgn malah dijadikan masalah...cc @jokowi @kring_pajak","1774581713185943995","","ardisatriawan","in","","0","0","0","https://x.com/reincarnasi2/status/1774581713185943995","1604345001307426817","reincarnasi2"
"1774317626191458480","Sun Mar 31 23:36:38 +0000 2024","4","@Bambangmulyonoo Dari dulu Freeport punya Indonesia cuma yang menguasi antek asing... ah @jokowi mah gitu dah...sok lugu bilang apa nanti juga ujungnya apa... orang mencla~mencle gitu","1774581601806262407","","Bambangmulyonoo","in","","0","1","0","https://x.com/RAISYAELBIX1s/status/1774581601806262407","1134604401824260096","RAISYAELBIX1s"
"1774581558395207740","Sun Mar 31 23:36:28 +0000 2024","1","Halo @Kemendag @PosIndonesia kalau bikin peraturan pembatasan impor yg benar dong saya sudah email tapi ga direspon dan saya telfon ke kantor kemendag ga ada diangkat kalian tuh kerjanya apa yah? seenaknya bikin aturan tp ga becus ngurusin @jokowi","1774581558395207740","","","in","Jakarta, Indonesia","0","1","0","https://x.com/klaudiamere/status/1774581558395207740","255381318","klaudiamere"
"1774346930967244876","Sun Mar 31 23:36:27 +0000 2024","0","@MardiSiswoyo15 @kompascom @jokowi kalau 03 ngomongin keadilan kenapa pilpres 2019 pembagian bansos gk diprotes juga? https://t.co/WVuSgdn8lx","1774581556855935105","https://pbs.twimg.com/media/GKCUhXXaQAAQqtl.jpg","MardiSiswoyo15","in","","0","0","0","https://x.com/dhi_es_03/status/1774581556855935105","1734212958547501056","dhi_es_03"
